D_REG;BRAND;MODEL;COLOR;MAKE_YEAR;FUEL;N_REG_NEW
30.03.2021;MAZDA;3;СІРИЙ;2011;БЕНЗИН;АН3893ОН
26.02.2021;MAZDA;5;СІРИЙ;2011;БЕНЗИН;АМ9314ЕО
29.05.2021;MAZDA;CX-7;ЧОРНИЙ;2011;БЕНЗИН;ВХ3705ЕТ
09.02.2021;MAZDA;3;СІРИЙ;2011;БЕНЗИН;АР4345ІЕ
21.01.2021;MAZDA;6;СІРИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;ВХ3607ЕМ
08.01.2021;MAZDA;CX-7;ФІОЛЕТОВИЙ;2011;БЕНЗИН;АВ1797НТ
05.01.2021;MAZDA;6;БІЛИЙ;2011;БЕНЗИН;АЕ4748ОТ
23.02.2021;MAZDA;6;ЧОРНИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;ВО3680СР
27.03.2021;MAZDA;CX-7;ЧОРНИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;СЕ6021СТ
06.03.2021;MAZDA;3;БІЛИЙ;2011;БЕНЗИН;АН5663ОН
04.03.2021;MAZDA;2;ЧОРНИЙ;2011;БЕНЗИН;АЕ9204ОХ
30.07.2021;MAZDA;3;СІРИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;СЕ8039СО
10.03.2021;MAZDA;3;СІРИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;АТ0899ЕО
05.03.2021;MAZDA;5;СІРИЙ;2011;БЕНЗИН АБО ГАЗ;АХ7062КС
06.01.2021;MAZDA;6;КОРИЧНЕВИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;СЕ4715СТ
12.03.2021;MAZDA;CX-7;СИНІЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;ВН8301ОК
07.04.2021;MAZDA;6;СИНІЙ;2011;БЕНЗИН;АЕ8284РІ
10.07.2021;MAZDA;2;СІРИЙ;2011;БЕНЗИН;АМ4394ЕХ
10.06.2021;MAZDA;CX-7;БІЛИЙ;2011;БЕНЗИН;КА9457СН
26.06.2021;MAZDA;3;ЗЕЛЕНИЙ;2011;БЕНЗИН;ВК5968НА
06.05.2021;MAZDA;6;СІРИЙ;2011;БЕНЗИН;ВН7641ОН
30.04.2021;MAZDA;CX-7;ЧОРНИЙ;2011;БЕНЗИН;АЕ5763РІ
15.04.2021;MAZDA;3;СИНІЙ;2011;БЕНЗИН;АЕ5215РК
23.06.2021;MAZDA;5;СІРИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;ВК8385НЕ
21.04.2021;MAZDA;CX-7;ЧОРНИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;АТ7684ЕТ
06.05.2021;MAZDA;CX-7;БІЛИЙ;2011;БЕНЗИН;ВН1021ОО
21.07.2021;MAZDA;5;СІРИЙ;2011;БЕНЗИН;ВН8650МО
01.06.2021;MAZDA;6;ЧОРНИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;СА6252ІС
08.05.2021;MAZDA;5;ЧОРНИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;АС9381ЕК
16.07.2021;MAZDA;CX-7;СИНІЙ;2011;БЕНЗИН;АН5793ОЕ
30.07.2021;MAZDA;3;СІРИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;ВХ8555СК
11.06.2021;MAZDA;CX-7;БЕЖЕВИЙ;2011;БЕНЗИН АБО ГАЗ;АЕ4589РК
12.06.2021;MAZDA;3;ЧЕРВОНИЙ;2011;БЕНЗИН;АР2363ІС
30.06.2021;MAZDA;CX-7;СІРИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;ВН9745ОА
16.06.2021;MAZDA;CX-7;ЧОРНИЙ;2011;БЕНЗИН;АЕ9663РЕ
26.06.2021;MAZDA;5;СІРИЙ;2011;БЕНЗИН;ВА6681ЕМ
28.07.2021;MAZDA;CX-7;СІРИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;АТ7190СР
24.04.2021;MAZDA;CX-7;СИНІЙ;2011;БЕНЗИН;ВН8395ОЕ
24.04.2021;MAZDA;5;СИНІЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;АС0641ЕМ
24.04.2021;MAZDA;CX-7;ЧОРНИЙ;2011;БЕНЗИН;ВВ1415ЕХ
01.07.2021;MAZDA;CX-7;СІРИЙ;2011;БЕНЗИН;КА8240СР
27.04.2021;MAZDA;CX-7;СИНІЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;АТ4512ЕТ
15.07.2021;MAZDA;CX-7;СІРИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;ВК5562ЕХ
20.05.2021;MAZDA;CX-7;БІЛИЙ;2011;БЕНЗИН;ВН9567ОК
15.05.2021;MAZDA;3;БІЛИЙ;2011;БЕНЗИН;АІ1526МТ
24.04.2021;MAZDA;CX-7;ЧОРНИЙ;2011;БЕНЗИН;ВЕ4789ЕК
28.04.2021;MAZDA;3;БІЛИЙ;2011;БЕНЗИН;КА8553СС
28.04.2021;MAZDA;3;БІЛИЙ;2011;БЕНЗИН;КА8673СС
29.05.2021;MAZDA;CX-7;ЧЕРВОНИЙ;2011;БЕНЗИН;КА5631ВМ
10.06.2021;MAZDA;3;ЧОРНИЙ;2011;БЕНЗИН;АВ4175НХ
09.07.2021;MAZDA;5;СІРИЙ;2011;БЕНЗИН;КА5345СТ
14.04.2021;MAZDA;CX-7;СІРИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;АО8731НА
20.01.2021;MAZDA;5;ЧОРНИЙ;2011;БЕНЗИН;ВА9351ЕІ
22.01.2021;MAZDA;6;СІРИЙ;2011;БЕНЗИН;ВН5413МХ
27.01.2021;MAZDA;6;СИНІЙ;2011;БЕНЗИН;ВІ8557ЕХ
04.02.2021;MAZDA;5;ЧЕРВОНИЙ;2011;БЕНЗИН АБО ГАЗ;АХ5519КВ
16.02.2021;MAZDA;3;СІРИЙ;2011;БЕНЗИН;АР9120ІС
25.02.2021;MAZDA;CX-7;БІЛИЙ;2011;БЕНЗИН;СЕ9211СМ
26.02.2021;MAZDA;CX-7;СІРИЙ;2011;БЕНЗИН;АХ2163КС
26.02.2021;MAZDA;3;СІРИЙ;2011;БЕНЗИН;АЕ3440РВ
05.03.2021;MAZDA;5;БІЛИЙ;2011;БЕНЗИН АБО ГАЗ;АІ0396МВ
12.03.2021;MAZDA;CX-7;БІЛИЙ;2011;БЕНЗИН;АІ7525КО
27.03.2021;MAZDA;6;СІРИЙ;2011;БЕНЗИН;АА1108РВ
03.04.2021;MAZDA;CX-7;ЧОРНИЙ;2011;БЕНЗИН;АА8518ІТ
02.04.2021;MAZDA;5;СИНІЙ;2011;БЕНЗИН АБО ГАЗ;АХ3038КН
06.04.2021;MAZDA;6;СІРИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;АТ4392ЕТ
08.04.2021;MAZDA;CX-7;БІЛИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;АТ4540ЕТ
13.04.2021;MAZDA;CX-7;СІРИЙ;2011;БЕНЗИН;АР0942ІН
07.05.2021;MAZDA;CX-7;СІРИЙ;2011;БЕНЗИН АБО ГАЗ;ВІ8651НВ
08.05.2021;MAZDA;CX-7;БІЛИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;АТ7768ЕТ
15.05.2021;MAZDA;3;БІЛИЙ;2011;БЕНЗИН;АВ9291НХ
21.05.2021;MAZDA;5;СИНІЙ;2011;БЕНЗИН;АТ9489ЕТ
22.05.2021;MAZDA;3;СІРИЙ;2011;БЕНЗИН;АВ4352НХ
26.05.2021;MAZDA;6;ЧОРНИЙ;2011;БЕНЗИН АБО ГАЗ;ВО4180СТ
23.06.2021;MAZDA;5;СІРИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;ВК5524НВ
03.07.2021;MAZDA;3;СИНІЙ;2011;БЕНЗИН;КА6577СР
08.07.2021;MAZDA;CX-7;СІРИЙ;2011;БЕНЗИН;АЕ6061РН
07.07.2021;MAZDA;3;ЧОРНИЙ;2011;БЕНЗИН;АХ5129КО
15.07.2021;MAZDA;CX-7;ЧОРНИЙ;2011;БЕНЗИН АБО ГАЗ;АХ9702КР
17.07.2021;MAZDA;CX-7;БІЛИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;СВ1750СС
27.01.2021;MAZDA;5;СІРИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;ВК7339НЕ
04.02.2021;MAZDA;3;КОРИЧНЕВИЙ;2011;БЕНЗИН;СВ0576ЕВ
12.02.2021;MAZDA;CX-7;ЧЕРВОНИЙ;2011;БЕНЗИН;ВС4600МК
17.02.2021;MAZDA;5;СІРИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;ВС1215МК
17.02.2021;MAZDA;3;ЧОРНИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;ВХ4838ЕР
04.03.2021;MAZDA;CX-7;СІРИЙ;2011;БЕНЗИН;АХ7015ЕС
10.03.2021;MAZDA;MX-5;ЧОРНИЙ;2011;БЕНЗИН;ВН3552ОА
10.03.2021;MAZDA;6;ЧЕРВОНИЙ;2011;БЕНЗИН;ВТ7406СО
20.03.2021;MAZDA;6;СІРИЙ;2011;БЕНЗИН;ВА2608СВ
25.03.2021;MAZDA;CX-7;БІЛИЙ;2011;БЕНЗИН;СВ5578ЕА
07.04.2021;MAZDA;6;СІРИЙ;2011;БЕНЗИН;ВХ7599ЕР
06.04.2021;MAZDA;CX-7;ЧОРНИЙ;2011;БЕНЗИН;АЕ5614РА
13.04.2021;MAZDA;6;ЧЕРВОНИЙ;2011;БЕНЗИН АБО ГАЗ;ВО4305СР
21.04.2021;MAZDA;3;СІРИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;ВН9183ОН
22.04.2021;MAZDA;CX-7;СІРИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;АМ8144ЕР
25.05.2021;MAZDA;3;СИНІЙ;2011;БЕНЗИН;ВН2980ОІ
02.06.2021;MAZDA;CX-7;ЧОРНИЙ;2011;БЕНЗИН;ВВ0220СХ
23.06.2021;MAZDA;3;ЧОРНИЙ;2011;БЕНЗИН;АЕ1933ОТ
19.06.2021;MAZDA;5;БІЛИЙ;2011;БЕНЗИН;КА7235СІ
23.06.2021;MAZDA;CX-7;СИНІЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;ВІ5812НС
17.07.2021;MAZDA;CX-7;ЧОРНИЙ;2011;БЕНЗИН АБО ГАЗ;АО0917ЕР
23.07.2021;MAZDA;CX-7;ЧЕРВОНИЙ;2011;БЕНЗИН АБО ГАЗ;КА2040СХ
30.07.2021;MAZDA;2;ЧОРНИЙ;2011;БЕНЗИН;ВК0232НІ
30.07.2021;MAZDA;CX-7;СІРИЙ;2011;БЕНЗИН АБО ГАЗ;ВХ6817ОО
04.01.2021;MAZDA;CX-7;БІЛИЙ;2011;БЕНЗИН;АЕ7819ОЕ
12.01.2021;MAZDA;6;ЧОРНИЙ;2011;БЕНЗИН АБО ГАЗ;АВ5349НР
27.01.2021;MAZDA;6;ЧОРНИЙ;2011;БЕНЗИН АБО ГАЗ;АР2267ЕО
02.02.2021;MAZDA;CX-7;ЧОРНИЙ;2011;БЕНЗИН;АВ4199ІА
19.02.2021;MAZDA;CX-7;ЧОРНИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;ВН6160МР
26.02.2021;MAZDA;6;ЧОРНИЙ;2011;БЕНЗИН;АХ6152НХ
10.03.2021;MAZDA;5;ЧОРНИЙ;2011;БЕНЗИН;ВТ0403СО
18.03.2021;MAZDA;2;ЧОРНИЙ;2011;БЕНЗИН;АЕ9204ОХ
20.03.2021;MAZDA;6;ЧОРНИЙ;2011;БЕНЗИН;АІ9558МС
03.04.2021;MAZDA;CX-7;ЧОРНИЙ;2011;БЕНЗИН АБО ГАЗ;АВ3331ВЕ
13.04.2021;MAZDA;CX-7;ЧОРНИЙ;2011;БЕНЗИН АБО ГАЗ;ВІ4981НВ
23.04.2021;MAZDA;6;ЧОРНИЙ;2011;БЕНЗИН;ВС6364ЕК
27.04.2021;MAZDA;CX-7;БІЛИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;АТ9129ЕТ
30.04.2021;MAZDA;5;СІРИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;АЕ5309РІ
29.04.2021;MAZDA;6;СІРИЙ;2011;БЕНЗИН АБО ГАЗ;АЕ5727РК
12.05.2021;MAZDA;3;ЗЕЛЕНИЙ;2011;БЕНЗИН;ВН6397ОО
12.05.2021;MAZDA;3;ЧОРНИЙ;2011;БЕНЗИН;ВТ0938СО
22.05.2021;MAZDA;3;СІРИЙ;2011;БЕНЗИН;АВ4384НХ
26.05.2021;MAZDA;5;СІРИЙ;2011;БЕНЗИН;ВМ9694СМ
05.06.2021;MAZDA;3;СІРИЙ;2011;БЕНЗИН АБО ГАЗ;ВА7743ЕІ
11.06.2021;MAZDA;CX-7;ФІОЛЕТОВИЙ;2011;БЕНЗИН;ВК5492НВ
11.06.2021;MAZDA;5;СІРИЙ;2011;БЕНЗИН;АЕ6544РС
25.06.2021;MAZDA;CX-9;БІЛИЙ;2011;БЕНЗИН АБО ГАЗ;АІ2997МР
15.07.2021;MAZDA;CX-7;ЧОРНИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;ВК5874НА
20.07.2021;MAZDA;CX-7;БІЛИЙ;2011;БЕНЗИН;АЕ0580ОР
23.07.2021;MAZDA;CX-7;БІЛИЙ;2011;БЕНЗИН;АХ7929КО
04.01.2021;MAZDA;CX-7;СІРИЙ;2011;БЕНЗИН АБО ГАЗ;АО0707ВА
13.01.2021;MAZDA;3;СІРИЙ;2011;БЕНЗИН;КА4101ВО
22.01.2021;MAZDA;CX-7;ЧЕРВОНИЙ;2011;БЕНЗИН;ВС6942МЕ
30.01.2021;MAZDA;5;ЧОРНИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;ВХ0465ЕО
12.02.2021;MAZDA;6;СІРИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;АТ5895ЕТ
11.02.2021;MAZDA;3;СІРИЙ;2011;БЕНЗИН;ВА5680ЕК
17.02.2021;MAZDA;2;ФІОЛЕТОВИЙ;2011;БЕНЗИН;КА4909СО
27.02.2021;MAZDA;3;ЧЕРВОНИЙ;2011;БЕНЗИН;АР4731ІС
21.03.2021;MAZDA;CX-7;СІРИЙ;2011;БЕНЗИН АБО ГАЗ;АІ9588МС
26.03.2021;MAZDA;3;СІРИЙ;2011;БЕНЗИН;АЕ6543РК
07.04.2021;MAZDA;6;БІЛИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;ВМ0101АА
28.04.2021;MAZDA;6;ЧОРНИЙ;2011;БЕНЗИН АБО ГАЗ;АЕ4664НА
08.05.2021;MAZDA;6;СІРИЙ;2011;БЕНЗИН АБО ГАЗ;АХ8995КН
14.05.2021;MAZDA;3;ЧОРНИЙ;2011;БЕНЗИН;АХ4549КН
18.05.2021;MAZDA;CX-7;СИНІЙ;2011;БЕНЗИН;ВН7293ОЕ
25.05.2021;MAZDA;3;СІРИЙ;2011;БЕНЗИН;ВН2301ОЕ
01.06.2021;MAZDA;3;СИНІЙ;2011;БЕНЗИН;КА9770ВЕ
01.06.2021;MAZDA;CX-7;БІЛИЙ;2011;БЕНЗИН;АІ2908ММ
24.06.2021;MAZDA;CX-7;СІРИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;СЕ9650СХ
08.07.2021;MAZDA;6;БІЛИЙ;2011;БЕНЗИН;АЕ2288ІХ
21.07.2021;MAZDA;3;СИНІЙ;2011;БЕНЗИН;АХ1106ІМ
19.02.2021;MAZDA;6;СИНІЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;АЕ1948ОК
18.03.2021;MAZDA;5;СИНІЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;ВС4457МК
06.04.2021;MAZDA;CX-7;ЧОРНИЙ;2011;БЕНЗИН АБО ГАЗ;ВІ4225НВ
15.04.2021;MAZDA;3;СІРИЙ;2011;БЕНЗИН;АН5090ОІ
28.04.2021;MAZDA;CX-7;ЧОРНИЙ;2011;БЕНЗИН;АЕ8529РК
06.05.2021;MAZDA;6;КОРИЧНЕВИЙ;2011;БЕНЗИН;КА5490СС
05.05.2021;MAZDA;6;БІЛИЙ;2011;БЕНЗИН АБО ГАЗ;ВІ8236НВ
06.05.2021;MAZDA;CX-7;БІЛИЙ;2011;БЕНЗИН;ВА1297ЕМ
05.05.2021;MAZDA;CX-7;БІЛИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;АР6514ІІ
12.05.2021;MAZDA;3;СІРИЙ;2011;БЕНЗИН;АО3491НВ
14.05.2021;MAZDA;CX-7;СИНІЙ;2011;БЕНЗИН;АЕ2300СМ
18.05.2021;MAZDA;6;ЧОРНИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;ВС9526МО
28.05.2021;MAZDA;3;СІРИЙ;2011;БЕНЗИН;ВК0340НН
28.05.2021;MAZDA;CX-7;СІРИЙ;2011;БЕНЗИН АБО ГАЗ;АА0049РР
09.07.2021;MAZDA;6;БІЛИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;АМ1408ЕХ
21.07.2021;MAZDA;3;БІЛИЙ;2011;БЕНЗИН;ВХ1491СМ
05.01.2021;MAZDA;5;СИНІЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;ВС4816МВ
12.01.2021;MAZDA;6;БІЛИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;ВС9860МЕ
13.01.2021;MAZDA;CX-7;СІРИЙ;2011;БЕНЗИН АБО ГАЗ;ВТ4884ВН
15.01.2021;MAZDA;CX-7;БІЛИЙ;2011;БЕНЗИН;ВН4348ОМ
16.01.2021;MAZDA;3;ЧОРНИЙ;2011;БЕНЗИН;АР0573ІВ
03.02.2021;MAZDA;6;СІРИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;КА4118ВХ
16.02.2021;MAZDA;CX-7;ЧОРНИЙ;2011;БЕНЗИН АБО ГАЗ;АХ2491КЕ
19.02.2021;MAZDA;CX-7;БІЛИЙ;2011;БЕНЗИН;АЕ6904ОХ
26.02.2021;MAZDA;3;СІРИЙ;2011;БЕНЗИН;КА1251СР
27.02.2021;MAZDA;3;СИНІЙ;2011;БЕНЗИН;ВТ0657СМ
26.03.2021;MAZDA;3;СІРИЙ;2011;БЕНЗИН;АН5732ОК
27.03.2021;MAZDA;CX-7;СИНІЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;АС8833АЕ
03.04.2021;MAZDA;3;СІРИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;АТ1959ЕТ
07.04.2021;MAZDA;6;ЧОРНИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;ВІ1833ЕВ
09.04.2021;MAZDA;CX-7;СІРИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;АТ1252ЕТ
16.04.2021;MAZDA;3;ЧОРНИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;СА2687ІС
22.04.2021;MAZDA;CX-7;ЧОРНИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;СЕ4640СХ
27.04.2021;MAZDA;6;ЧОРНИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;СВ4787ЕВ
06.05.2021;MAZDA;CX-7;СИНІЙ;2011;БЕНЗИН;ВН3762ОЕ
05.05.2021;MAZDA;CX-7;СІРИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;КА6225СС
26.05.2021;MAZDA;5;СИНІЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;АІ1383МІ
09.06.2021;MAZDA;CX-7;СИНІЙ;2011;БЕНЗИН;ВН4172ОО
09.06.2021;MAZDA;CX-5;СІРИЙ;2011;БЕНЗИН;ВН4663ОО
26.06.2021;MAZDA;CX-7;БІЛИЙ;2011;ДИЗЕЛЬНЕ ПАЛИВО;АМ1821ЕХ
